drummer,genre
高橋久美子,"ロック, J-POP"
高橋浩司,ロック
高橋宏貴,"ロック, J-POP"
高橋まこと,"ロック, J-POP"
高橋幸宏,ロック
高橋ロジャー和久,ロック
高村佳秀,"J-POP, ロック"
TAKEO,ロック
田沢公大,ロック
TASSHI,"J-POP, ロック"
tax,"ロック, J-POP"
田中清司,"J-POP, ロック"
田中裕二,J-POP
田中一光,"ロック, J-POP"
レイジ・タナカ,"スカ, カリプソ"
谷口奈穂子,"ロック, J-POP"
田邊昭知,J-POP
ダニエル・セラフィン,"ポップス, ジャズ"
ダニエル・アデア,ロック
ダニエル・アーランドソン,ヘヴィメタル
ダニエル・スヴェンソン ,ヘヴィメタル
ダニエル・ユメール,ジャズ
玉田豊夢,"J-POP, ロック"
田村はるな,J-POP
タリム,ヘヴィメタル
ダン・スワノ,ヘヴィメタル
チト河内,"J-POP, ロック"
チェスター・トンプソン,"ジャズ, プログレッシブ"
チャーリー・ワッツ,ロック
"チャールズ・""ハングリー""・ウィリアムズ",R&B
チャド・スミス,ロック
チャド・ワッカーマン,"ジャズ, フュージョン"
恒岡章,ロック
つのだ☆ひろ,"ロック, J-POP"
角田美喜,"ロック, J-POP"
鶴田加奈子,ロック
鶴谷智生,"J-POP, ロック"
ティコ・トーレス,ロック
デイヴ・ウェックル,"フュージョン, ジャズ"
デイヴ・グロール,ロック
デイヴ・ロンバード,ロック
ティト・プエンテ,ラテン
デヴィッド・ガリバルディ,"R&B, ファンク"
デニス・チェンバース,"ジャズ, フュージョン, ファンク, ラテン"
テリー・ボジオ,ロック
徳永善也,J-POP
栃木孝夫,J-POP
トニー・アレン,アフロビート
トニー・ウィリアムス,"ジャズ, ロック"
トーマス・ラング,"ジャズ, ポップス, ロック, ラテン"
トミー・アルドリッジ,"ハードロック, ロック"
トミー・スナイダー,ロック
トミー・プライス,ロック
トミー・リー,ヘヴィメタル
富田京子,J-POP
TOMOYA,ロック
Tomoi,"ヘヴィメタル, ハードロック"
トラヴィス・バーカー,ロック
トレ・クール,ロック
ドン・ヘンリー,ロック
ナイジェル・グロックラー,ハードロック
中幸一郎,"ロック, J-POP"
長井一郎,ロック
永井利光,"ロック, J-POP"
中畑大樹,ロック
中村逸人,ロック
中村達也,ロック
ナカヤマシンペイ,ロック
ナラダ・マイケル・ウォルデン,"ロック, R&B, ポップス, フュージョン"
ナヲ,ロック
新井田耕造,ロック
ニール・パート,"ハードロック, プログレッシブ"
ニコ・マクブレイン ,ヘヴィメタル
ニック・メイスン,ロック
ニック・メンザ,"ヘヴィメタル, ジャズ"
にゃんごすたー,"ハードロック, マスコット"
沼澤尚,"J-POP, ロック"
野口薫,ロック
野口明彦,J-POP
野崎真助,"J-POP, ロック"
則竹裕之,"ロック, J-POP"
ハーヴィー・メイソン,"ジャズ, フュージョン"
長谷川浩二,J-POP
長谷部徹,"J-POP, ジャズ, フュージョン"
刃田綴色,"ロック, J-POP"
パット・トーピー,ロック
パット・マステロット,ハードロック
バディ・リッチ,ジャズ
バーナード・パーディ,"ソウル, R&B"
ハナ肇,コミック
林立夫,J-POP
"原""GEN""秀樹",ロック
原田俊太郎,ジャズ
原田裕臣,"プログレッシブ, ロック"
坂東慧,ジャズ
東原力哉,"フュージョン, ジャズ"
ピーター・アースキン,ジャズ
ピーター・ウィルドアー,"ヘヴィメタル, ハードロック, ロック, ポップス"
ピーター・クリス,ロック
ピーター・テクレン ,ヘヴィメタル
ピート・サンドヴァル,ヘヴィメタル
ピート・ベスト,ロック
ピート・ヨーク,"ロック, ジャズ"
ピエール中野,"ロック, J-POP"
ピエール・ムーラン,"プログレッシブ, ロック, ジャズ"
東佳樹,"クラシック, ミュージカル"
樋口晶之,ロック
樋口宗孝,ロック
英樹,ロック
日野元彦,ジャズ
ピップ・パイル,プログレッシブ
ビョーン・イエロッテ ,ヘヴィメタル
平谷庄至,スカ
ビリー・コブハム,"ジャズ, フュージョン"
ビリー・ヒギンス,ジャズ
ビル・ブルーフォード,プログレッシブ
ビル・リーフリン,ロック
廣石恵一,"J-POP, ロック"
HIROSHI,ロック
ファンキー末吉,ロック
フィリー・ジョー・ジョーンズ,ジャズ
フィル・コリンズ,"ポップス, ロック"
藤田浩司,ジャズ
藤本健一,"J-POP, ロック"
ふとがね金太,ロック
ブライアン・ダウニー,ロック
ブライアン・ブレイド,ジャズ
ブライアン・ベネット,ロック
フランキー堺,ジャズ
フリオ・キリコ,"プログレッシブ, ロック, ジャズ"
フロスト ,ヘヴィメタル
Fuyu,J-POP
ベイビー・ドッズ,ジャズ
ベヴ・ベヴァン,ロック
ポール・クック,パンク
ほな・いこか,"J-POP, ロック"
堀之内大介,"ロック, J-POP"
本間大嗣,ロック
MAH,"ロック, J-POP"
マービン・レノアー,ジャズ
マイク・ポートノイ,プログレッシブ
マイケル・ジャイルズ,ロック
マイケル・シュリーヴ,ロック
マイケル・ホサック,ロック
まこと,"J-POP, ロック"
マコト・サカモト,ロック
マシータ,ロック
升秀夫,"J-POP, ロック"
舛岡圭司,"J-POP, ロック"
松岡昌宏,J-POP
マックス・ローチ,ジャズ
松田晋二,ロック
松田弘,J-POP
松藤英男,J-POP
松永明日斗,"J-POP, ロック"
松永俊弥,"J-POP, ロック"
松本隆,ロック
松本玲二,J-POP
マルクス・ヒルヴォネン,ヘヴィメタル
御木惇史,"J-POP, ロック"
ミッキー・ディー,ロック
MIZUHO,J-POP
道倉康介,J-POP
湊雅史,ロック
みのすけ,ロック
三村隆史,ロック
宮ユキオ,J-POP
宮上元克,ロック
宮田繁男,"J-POP, ロック"
宮野大介,ロック
宮脇“JOE”知史,ロック
三好真美,"J-POP, ロック"
向山テツ,"J-POP, ロック"
牟田昌広,"J-POP, ロック"
村井守,"ロック, パンク"
村石雅行,"J-POP, ロック, ジャズ, フュージョン"
村上“ポンタ”秀一,"J-POP, ロック, ジャズ, フュージョン"
村上寛,"ジャズ, フュージョン, ファンク"
村瀬シゲト,ロック
むらたたむ,"フュージョン, J-POP, ヘヴィメタル"
メルヴィン・パーカー,"ファンク, ジャズ"
メル・テイラー,ロック
メル・ルイス,ジャズ
モーリン・タッカー,ロック
茂木欣一,"ロック, スカ, レゲエ"
イクエ・モリ,エレクトロニック
森信行,"ロック, J-POP"
矢尾拓也,ロック
ヤガミトール,ロック
八木優樹,"ロック, J-POP"
ヤキ・リーベツァイト,ロック
ヤスカ・ラーチカイネン,ヘヴィメタル
ヤニ・ステファノヴィック,ヘヴィメタル
矢野博康,ロック
矢部浩志,"J-POP, ロック"
山木秀夫,"J-POP, ロック"
山口智史,"ロック, J-POP"
山口昌人,ロック
山田雅人,ロック
山田亘,"ロック, J-POP"
山中綾華,"J-POP, ロック"
ヤン・アクセル・ブロンベルク,ヘヴィメタル
ヤンネ・パルヴィアイネン ,ヘヴィメタル
ゆうや,"ロック, J-POP"
yukihiro,"ロック, J-POP"
YOSHIAKI,"ロック, J-POP"
YOSHIKI ,ロック
吉田達也,ロック
吉田太郎,ロック
吉田佳史,ロック
芳垣安洋,"ファンク, ジャズ, ロック"
ラーズ・ウルリッヒ,ヘヴィメタル
ライデン湯沢殿下,ロック
ラス・カンケル,"ロック, ポップス"
リヴォン・ヘルム,ロック
リオン・テイラー,ロック
リッキー・ローソン,ロック
リック・マロッタ,"ソウル, ジャズ"
リッチー・ヘイワード,ロック
RINA,"ロック, J-POP"
笠浩二,"J-POP, ロック"
リンゴ・スター,"ロック, ポップス"
RUKA,"ロック, J-POP"
レニ,ロック
レニー・ホワイト,フュージョン
LEVIN,ロック
ロイ・ヘインズ,ジャズ
ロジャー・テイラー,ロック
ロジャー・ホーキンス,ロック
ロッキー・グレイ,ロック
ロバート・ワイアット,ロック
ロルフ・ピルヴ,ヘヴィメタル
ロン・ベック,"ファンク, R&B, ソウル"
渡辺作郎,ロック
渡辺拓郎,ロック
渡辺豊,J-POP
栗原寿,"J-POP, ロック"
河村吉宏,"J-POP, ロック"
